Country,Year,Life expectancy,Child Mortality,Population,Fertility,GDP,Group
Albania,1989,73.4,42.5,3255859.0,3.02,4325.0,Europe & Central Asia
Albania,1990,73.5,40.6,3289483.0,2.97,4350.0,Europe & Central Asia
Albania,1991,73.4,38.8,3291695.0,2.92,3081.0,Europe & Central Asia
Albania,1992,73.4,37.3,3266983.0,2.87,2877.0,Europe & Central Asia
Albania,1993,73.4,36.0,3224901.0,2.82,3172.0,Europe & Central Asia
Albania,1994,73.6,34.6,3179442.0,2.77,3457.0,Europe & Central Asia
Albania,1995,73.8,33.2,3141102.0,2.72,3941.0,Europe & Central Asia
Albania,1996,73.9,31.8,3112597.0,2.67,4326.0,Europe & Central Asia
Albania,1997,73.9,30.3,3091902.0,2.61,3909.0,Europe & Central Asia
Albania,1998,73.8,28.9,3079037.0,2.54,4434.0,Europe & Central Asia
Albania,1999,74.0,27.5,3072725.0,2.47,4912.0,Europe & Central Asia
Albania,2000,74.2,26.2,3071856.0,2.38,5305.0,Europe & Central Asia
Albania,2001,74.4,24.9,3077378.0,2.29,5730.0,Europe & Central Asia
Albania,2002,74.5,23.6,3089778.0,2.2,5913.0,Europe & Central Asia
Albania,2003,74.4,22.5,3106701.0,2.1,6274.0,Europe & Central Asia
Albania,2004,74.4,21.5,3124861.0,2.0,6672.0,Europe & Central Asia
Albania,2005,74.4,20.5,3141800.0,1.92,7075.0,Europe & Central Asia
Albania,2006,74.5,19.5,3156607.0,1.85,7476.0,Europe & Central Asia
Albania,2007,74.7,18.7,3169665.0,1.8,7977.0,Europe & Central Asia
Albania,2008,74.9,17.9,3181397.0,1.76,8644.0,Europe & Central Asia
Albania,2009,75.0,17.3,3192723.0,1.74,8994.0,Europe & Central Asia
Albania,2010,75.2,16.6,3204284.0,1.74,9374.0,Europe & Central Asia
Albania,2011,75.5,16.0,3215988.0,1.75,9640.0,Europe & Central Asia
Albania,2012,75.7,15.5,3227373.0,1.76,9811.0,Europe & Central Asia
Albania,2013,75.8,14.9,3238316.0,1.77,9961.0,Europe & Central Asia
Algeria,1964,53.438919999999996,247.3,11654905.0,7.65,5693.0,Middle East & North Africa
Algeria,1965,53.9996,248.2,11923002.0,7.66,5916.0,Middle East & North Africa
Algeria,1966,54.54128000000001,248.9,12229853.0,7.66,5478.0,Middle East & North Africa
Algeria,1967,55.06496,248.9,12572629.0,7.66,5811.0,Middle East & North Africa
Algeria,1968,55.576640000000005,248.0,12945462.0,7.66,6319.0,Middle East & North Africa
Algeria,1969,56.085319999999996,245.8,13338918.0,7.65,6747.0,Middle East & North Africa
Algeria,1970,56.6,242.2,13746185.0,7.64,7227.0,Middle East & North Africa
Algeria,1971,56.9,237.3,14165889.0,7.62,6427.0,Middle East & North Africa
Algeria,1972,57.3,230.9,14600659.0,7.59,7556.0,Middle East & North Africa
Algeria,1973,57.6,223.4,15052371.0,7.55,7581.0,Middle East & North Africa
Algeria,1974,58.0,214.9,15524137.0,7.49,7812.0,Middle East & North Africa
Algeria,1975,58.3,205.5,16018195.0,7.42,8119.0,Middle East & North Africa
Algeria,1976,58.7,195.7,16533323.0,7.34,8400.0,Middle East & North Africa
Algeria,1977,59.2,185.1,17068212.0,7.24,8888.0,Middle East & North Africa
Algeria,1978,59.7,173.9,17624756.0,7.14,9730.0,Middle East & North Africa
Algeria,1979,60.4,161.7,18205468.0,7.02,10293.0,Middle East & North Africa
Algeria,1980,60.8,148.0,18811199.0,6.89,10166.0,Middle East & North Africa
Algeria,1981,62.1,132.6,19442423.0,6.74,10160.0,Middle East & North Africa
Algeria,1982,63.4,115.9,20095648.0,6.58,10477.0,Middle East & North Africa
Algeria,1983,64.9,98.9,20762767.0,6.39,10696.0,Middle East & North Africa
Algeria,1984,66.4,83.6,21433070.0,6.19,10947.0,Middle East & North Africa
Algeria,1985,67.7,71.2,22098298.0,5.98,11030.0,Middle East & North Africa
Algeria,1986,68.6,61.9,22753511.0,5.75,10722.0,Middle East & North Africa
Algeria,1987,69.2,55.3,23398470.0,5.51,10378.0,Middle East & North Africa
Algeria,1988,69.7,51.2,24035237.0,5.26,9888.0,Middle East & North Africa
Algeria,1989,70.2,48.6,24668100.0,5.01,10115.0,Middle East & North Africa
Algeria,1990,70.5,46.9,25299182.0,4.76,10113.0,Middle East & North Africa
Algeria,1991,70.8,45.8,25930560.0,4.5,9748.0,Middle East & North Africa
Algeria,1992,71.1,45.0,26557969.0,4.24,9693.0,Middle East & North Africa
Algeria,1993,71.3,44.2,27169903.0,3.97,9279.0,Middle East & North Africa
Algeria,1994,71.5,43.5,27751086.0,3.71,9006.0,Middle East & North Africa
Algeria,1995,71.7,42.6,28291591.0,3.45,9168.0,Middle East & North Africa
Algeria,1996,72.1,41.8,28786855.0,3.21,9375.0,Middle East & North Africa
Algeria,1997,72.4,41.2,29242917.0,2.99,9322.0,Middle East & North Africa
Algeria,1998,72.9,40.7,29673694.0,2.79,9646.0,Middle East & North Africa
Algeria,1999,73.0,40.2,30099010.0,2.63,9810.0,Middle East & North Africa
Algeria,2000,73.2,39.7,30533827.0,2.51,9885.0,Middle East & North Africa
Algeria,2001,73.4,38.9,30982214.0,2.44,10203.0,Middle East & North Africa
Algeria,2002,73.6,37.8,31441848.0,2.41,10634.0,Middle East & North Africa
Algeria,2003,73.7,36.5,31913462.0,2.41,11251.0,Middle East & North Africa
Algeria,2004,74.2,35.1,32396048.0,2.45,11575.0,Middle East & North Africa
Algeria,2005,74.5,33.6,32888449.0,2.51,12077.0,Middle East & North Africa
Algeria,2006,74.8,32.1,33391954.0,2.58,12088.0,Middle East & North Africa
Algeria,2007,75.0,30.7,33906605.0,2.66,12289.0,Middle East & North Africa
Algeria,2008,75.3,29.5,34428028.0,2.73,12314.0,Middle East & North Africa
Algeria,2009,75.6,28.4,34950168.0,2.78,12285.0,Middle East & North Africa
Algeria,2010,75.9,27.4,35468208.0,2.82,12494.0,Middle East & North Africa
Algeria,2011,76.1,26.6,35980193.0,2.83,12606.0,Middle East & North Africa
Algeria,2012,76.2,25.8,36485828.0,2.82,12779.0,Middle East & North Africa
Algeria,2013,76.3,25.2,36983924.0,2.8,12893.0,Middle East & North Africa
Angola,1964,43.99184,305.2,5337063.0,7.43,4573.0,Sub-Saharan Africa
Angola,1965,44.6082,297.55,5431135.0,7.43,4840.0,Sub-Saharan Africa
Angola,1966,45.22456,289.99,5524090.0,7.42,5043.0,Sub-Saharan Africa
Angola,1967,45.843920000000004,282.4,5617242.0,7.4,5253.0,Sub-Saharan Africa
Angola,1968,46.46328,275.28,5713156.0,7.38,5093.0,Sub-Saharan Africa
Angola,1969,47.08164,268.59,5815282.0,7.34,5158.0,Sub-Saharan Africa
Angola,1970,47.7,262.29,5926333.0,7.3,5397.0,Sub-Saharan Africa
Angola,1971,48.1,259.32,6047736.0,7.26,5614.0,Sub-Saharan Africa
Angola,1972,48.4,256.39,6179685.0,7.23,5511.0,Sub-Saharan Africa
Angola,1973,48.8,253.49,6322194.0,7.21,5831.0,Sub-Saharan Africa
Angola,1974,49.2,250.63,6474796.0,7.19,5880.0,Sub-Saharan Africa
Angola,1975,49.4,247.79,6637419.0,7.19,5454.0,Sub-Saharan Africa
Angola,1976,49.7,244.99,6808850.0,7.19,5044.0,Sub-Saharan Africa
Angola,1977,49.9,242.22,6989988.0,7.19,4956.0,Sub-Saharan Africa
Angola,1978,50.1,239.48,7185188.0,7.19,4572.0,Sub-Saharan Africa
Angola,1979,50.3,236.78,7400231.0,7.2,4458.0,Sub-Saharan Africa
Angola,1980,50.4,234.1,7638420.0,7.2,4443.0,Sub-Saharan Africa
Angola,1981,50.4,232.8,7903368.0,7.2,4110.0,Sub-Saharan Africa
Angola,1982,50.3,231.5,8191774.0,7.2,3970.0,Sub-Saharan Africa
Angola,1983,50.2,230.2,8491682.0,7.21,3996.0,Sub-Saharan Africa
Angola,1984,50.0,229.1,8786652.0,7.21,4099.0,Sub-Saharan Africa
Angola,1985,50.0,228.3,9065562.0,7.21,4117.0,Sub-Saharan Africa
Angola,1986,49.9,227.5,9322550.0,7.21,4135.0,Sub-Saharan Africa
Angola,1987,49.9,226.9,9562796.0,7.2,4319.0,Sub-Saharan Africa
Angola,1988,49.9,226.5,9799680.0,7.19,4455.0,Sub-Saharan Africa
Angola,1989,50.6,226.2,10052567.0,7.18,4365.0,Sub-Saharan Africa
Angola,1990,50.3,226.0,10335052.0,7.17,4232.0,Sub-Saharan Africa
Angola,1991,50.7,225.9,10653515.0,7.14,4056.0,Sub-Saharan Africa
Angola,1992,50.7,226.0,11002910.0,7.12,3656.0,Sub-Saharan Africa
Angola,1993,49.6,225.8,11371750.0,7.09,2663.0,Sub-Saharan Africa
Angola,1994,50.5,225.5,11742960.0,7.05,2669.0,Sub-Saharan Africa
Angola,1995,50.9,224.8,12105105.0,7.02,2859.0,Sub-Saharan Africa
Angola,1996,51.0,224.0,12452725.0,6.98,3091.0,Sub-Saharan Africa
Angola,1997,51.2,222.6,12792237.0,6.95,3246.0,Sub-Saharan Africa
Angola,1998,51.6,220.8,13138265.0,6.91,3376.0,Sub-Saharan Africa
Angola,1999,51.9,218.9,13511575.0,6.88,3389.0,Sub-Saharan Africa
Angola,2000,52.6,216.7,13926373.0,6.84,3387.0,Sub-Saharan Africa
Angola,2001,53.0,214.1,14388244.0,6.81,3417.0,Sub-Saharan Africa
Angola,2002,53.8,211.7,14890474.0,6.78,3759.0,Sub-Saharan Africa
Angola,2003,54.5,209.2,15419943.0,6.74,3819.0,Sub-Saharan Africa
Angola,2004,55.2,206.7,15957460.0,6.7,4087.0,Sub-Saharan Africa
Angola,2005,56.0,203.9,16489021.0,6.66,4667.0,Sub-Saharan Africa
Angola,2006,56.9,200.5,17010366.0,6.6,5445.0,Sub-Saharan Africa
Angola,2007,57.6,196.4,17525367.0,6.52,6453.0,Sub-Saharan Africa
Angola,2008,58.3,192.0,18037964.0,6.43,7103.0,Sub-Saharan Africa
Angola,2009,58.9,187.3,18555115.0,6.33,7039.0,Sub-Saharan Africa
Angola,2010,59.4,182.5,19081912.0,6.22,7047.0,Sub-Saharan Africa
Angola,2011,59.7,177.3,19618432.0,6.1,7094.0,Sub-Saharan Africa
Angola,2012,60.1,172.2,20162517.0,5.98,7230.0,Sub-Saharan Africa
Angola,2013,60.4,167.1,20714494.0,5.86,7488.0,Sub-Saharan Africa
Antigua and Barbuda,1964,64.56876,72.78,58653.0,4.25,5008.0,America
Antigua and Barbuda,1965,64.9608,69.91,59844.0,4.19,5133.0,America
Antigua and Barbuda,1966,65.34084,66.69,61032.0,4.13,5262.0,America
Antigua and Barbuda,1967,65.71288,63.53,62226.0,4.04,5393.0,America
Antigua and Barbuda,1968,66.07892,60.97,63401.0,3.94,5528.0,America
Antigua and Barbuda,1969,66.44196,58.16,64528.0,3.82,5666.0,America
Antigua and Barbuda,1970,66.8,55.87,65587.0,3.68,5807.0,America
Antigua and Barbuda,1971,67.3,53.73,66554.0,3.52,6088.0,America
Antigua and Barbuda,1972,67.7,51.35,67419.0,3.33,6378.0,America
Antigua and Barbuda,1973,68.0,49.44,68182.0,3.12,6770.0,America
Antigua and Barbuda,1974,67.8,47.58,68848.0,2.91,6888.0,America
Antigua and Barbuda,1975,67.5,45.77,69420.0,2.7,6458.0,America
Antigua and Barbuda,1976,67.3,43.98,69910.0,2.51,5885.0,America
Antigua and Barbuda,1977,67.4,42.22,70301.0,2.36,6371.0,America
Antigua and Barbuda,1978,68.0,40.83,70533.0,2.24,6691.0,America
Antigua and Barbuda,1979,68.9,39.16,70525.0,2.16,7536.0,America
Antigua and Barbuda,1980,69.9,37.53,70228.0,2.12,8169.0,America
Antigua and Barbuda,1981,71.0,36.01,69639.0,2.1,8689.0,America
Antigua and Barbuda,1982,71.9,34.55,68803.0,2.1,8827.0,America
Antigua and Barbuda,1983,72.7,33.16,67792.0,2.1,9540.0,America
Antigua and Barbuda,1984,73.0,31.83,66701.0,2.1,10388.0,America
Antigua and Barbuda,1985,73.1,30.54,65614.0,2.09,11383.0,America
Antigua and Barbuda,1986,73.0,29.32,64539.0,2.08,12600.0,America
Antigua and Barbuda,1987,72.9,28.14,63510.0,2.07,14027.0,America
Antigua and Barbuda,1988,72.8,27.01,62669.0,2.06,15441.0,America
Antigua and Barbuda,1989,72.5,25.93,62192.0,2.06,16611.0,America
Antigua and Barbuda,1990,72.4,25.5,62202.0,2.06,17154.0,America
Antigua and Barbuda,1991,72.3,24.2,62754.0,2.07,17361.0,America
Antigua and Barbuda,1992,72.1,23.1,63802.0,2.1,17226.0,America
Antigua and Barbuda,1993,72.1,21.9,65238.0,2.13,17753.0,America
Antigua and Barbuda,1994,72.2,20.8,66895.0,2.17,18400.0,America
Antigua and Barbuda,1995,72.2,19.7,68642.0,2.21,17167.0,America
Antigua and Barbuda,1996,72.6,18.8,70450.0,2.25,17830.0,America
Antigua and Barbuda,1997,72.9,17.9,72322.0,2.28,18186.0,America
Antigua and Barbuda,1998,73.2,17.0,74190.0,2.3,18483.0,America
Antigua and Barbuda,1999,73.6,16.2,75985.0,2.32,18780.0,America
Antigua and Barbuda,2000,73.9,15.5,77656.0,2.32,19319.0,America
Antigua and Barbuda,2001,74.1,14.8,79165.0,2.31,18388.0,America
Antigua and Barbuda,2002,74.2,14.1,80507.0,2.29,18676.0,America
Antigua and Barbuda,2003,74.3,13.5,81716.0,2.27,19566.0,America
Antigua and Barbuda,2004,74.3,12.9,82838.0,2.25,20395.0,America
Antigua and Barbuda,2005,74.3,12.4,83916.0,2.22,21414.0,America
Antigua and Barbuda,2006,74.4,11.8,84952.0,2.2,24016.0,America
Antigua and Barbuda,2007,74.6,11.3,85935.0,2.18,26008.0,America
Antigua and Barbuda,2008,74.8,10.9,86881.0,2.16,25736.0,America
Antigua and Barbuda,2009,75.1,10.4,87802.0,2.15,22389.0,America
Antigua and Barbuda,2010,75.2,9.9,88710.0,2.13,20567.0,America
Antigua and Barbuda,2011,75.2,9.5,89612.0,2.12,19988.0,America
Antigua and Barbuda,2012,75.2,9.1,90510.0,2.1,20577.0,America
Antigua and Barbuda,2013,75.2,8.7,91404.0,2.09,20353.0,America
Argentina,1964,65.08088000000001,57.43,21966478.0,3.07,8227.0,America
Argentina,1965,65.1669,57.43,22296628.0,3.06,8818.0,America
Argentina,1966,65.28192,58.63,22622012.0,3.05,8709.0,America
Argentina,1967,65.43094,58.52,22944941.0,3.05,8782.0,America
Argentina,1968,65.61796,58.32,23273148.0,3.05,9003.0,America
Argentina,1969,65.84198,73.2,23616971.0,3.06,9610.0,America
Argentina,1970,66.1,72.4,23983358.0,3.07,9951.0,America
Argentina,1971,66.4,71.5,24376109.0,3.1,10167.0,America
Argentina,1972,67.0,70.4,24791983.0,3.15,10209.0,America
Argentina,1973,67.5,68.8,25222223.0,3.2,10419.0,America
Argentina,1974,67.7,66.6,25654154.0,3.26,10809.0,America
Argentina,1975,67.9,63.8,26078731.0,3.32,10571.0,America
Argentina,1976,67.9,60.2,26492716.0,3.37,10408.0,America
Argentina,1977,68.4,55.9,26899177.0,3.39,10918.0,America
Argentina,1978,69.2,51.4,27303001.0,3.39,10406.0,America
Argentina,1979,69.9,47.0,27711808.0,3.37,10976.0,America
Argentina,1980,70.2,43.1,28131040.0,3.33,10982.0,America
Argentina,1981,70.3,40.0,28561561.0,3.27,10221.0,America
Argentina,1982,70.7,37.6,29001060.0,3.21,9765.0,America
Argentina,1983,70.8,35.8,29447973.0,3.16,10030.0,America
Argentina,1984,71.0,34.4,29899743.0,3.12,10102.0,America
Argentina,1985,71.9,33.1,30354240.0,3.09,9262.0,America
Argentina,1986,72.0,31.9,30810984.0,3.07,9810.0,America
Argentina,1987,72.1,30.8,31269799.0,3.06,9936.0,America
Argentina,1988,72.2,29.7,31729130.0,3.04,9620.0,America
Argentina,1989,72.4,28.6,32187173.0,3.02,8820.0,America
Argentina,1990,72.6,27.6,32642442.0,2.99,8539.0,America
Argentina,1991,72.7,26.6,33093579.0,2.96,9333.0,America
Argentina,1992,72.8,25.7,33540023.0,2.92,10130.0,America
Argentina,1993,73.1,24.8,33982035.0,2.88,10602.0,America
Argentina,1994,73.4,24.1,34420352.0,2.83,11108.0,America
Argentina,1995,73.5,23.4,34855160.0,2.77,10673.0,America
Argentina,1996,73.5,22.7,35287113.0,2.72,11150.0,America
Argentina,1997,73.6,22.0,35714929.0,2.66,11935.0,America
Argentina,1998,73.7,21.4,36134642.0,2.6,12268.0,America
Argentina,1999,74.0,20.8,36541029.0,2.54,11722.0,America
Argentina,2000,74.3,20.2,36930709.0,2.48,11504.0,America
Argentina,2001,74.4,19.7,37302116.0,2.42,10875.0,America
Argentina,2002,74.3,19.2,37657340.0,2.38,9574.0,America
Argentina,2003,74.5,18.6,38001251.0,2.34,10318.0,America
Argentina,2004,75.0,17.9,38340778.0,2.31,11135.0,America
Argentina,2005,75.4,17.1,38681174.0,2.29,12039.0,America
Argentina,2006,75.5,16.4,39023850.0,2.27,12913.0,America
Argentina,2007,75.4,15.8,39368066.0,2.25,13873.0,America
Argentina,2008,75.5,15.4,39714298.0,2.24,14646.0,America
Argentina,2009,75.6,15.0,40062470.0,2.23,14605.0,America
Argentina,2010,75.8,14.6,40412376.0,2.22,15765.0,America
Argentina,2011,75.9,14.2,40764561.0,2.2,16972.0,America
Argentina,2012,75.9,13.8,41118986.0,2.19,17101.0,America
Argentina,2013,76.0,13.3,41473982.0,2.18,17629.0,America
Armenia,1964,62.74816,66.85,2138133.0,4.16,2823.0,Europe & Central Asia
Armenia,1965,63.0723,63.58,2204650.0,3.98,2945.0,Europe & Central Asia
Armenia,1966,63.39544,60.86,2269475.0,3.79,3051.0,Europe & Central Asia
Armenia,1967,63.71058000000001,63.13,2332624.0,3.61,3151.0,Europe & Central Asia
Armenia,1968,64.00771999999999,65.49,2394635.0,3.45,3300.0,Europe & Central Asia
Armenia,1969,64.27786,67.93,2456370.0,3.31,3313.0,Europe & Central Asia
Armenia,1970,64.5,70.47,2518408.0,3.21,3533.0,Europe & Central Asia
Armenia,1971,65.1,73.1,2580894.0,3.12,3589.0,Europe & Central Asia
Armenia,1972,65.6,75.83,2643464.0,3.03,3571.0,Europe & Central Asia
Armenia,1973,66.1,78.66,2705584.0,2.94,3832.0,Europe & Central Asia
Armenia,1974,66.7,81.59,2766495.0,2.85,3871.0,Europe & Central Asia
Armenia,1975,67.1,84.64,2825650.0,2.75,3810.0,Europe & Central Asia
Armenia,1976,67.6,87.8,2882831.0,2.65,3917.0,Europe & Central Asia
Armenia,1977,68.0,84.3,2938181.0,2.56,3937.0,Europe & Central Asia
Armenia,1978,68.4,81.0,2991954.0,2.48,3964.0,Europe & Central Asia
Armenia,1979,68.7,77.8,3044564.0,2.42,3877.0,Europe & Central Asia
Armenia,1980,69.0,74.8,3096298.0,2.39,3815.0,Europe & Central Asia
Armenia,1981,69.4,71.8,3145885.0,2.37,3783.0,Europe & Central Asia
Armenia,1982,69.6,69.1,3192877.0,2.38,3809.0,Europe & Central Asia
Armenia,1983,69.9,66.4,3239212.0,2.41,3862.0,Europe & Central Asia
Armenia,1984,70.2,63.8,3287588.0,2.44,3840.0,Europe & Central Asia
Armenia,1985,70.5,61.4,3339147.0,2.48,3805.0,Europe & Central Asia
Armenia,1986,70.7,59.0,3396511.0,2.52,3890.0,Europe & Central Asia
Armenia,1987,70.7,56.6,3457054.0,2.55,3872.0,Europe & Central Asia
Armenia,1988,68.2,81.6,3510439.0,2.57,3886.0,Europe & Central Asia
Armenia,1989,70.3,52.0,3542720.0,2.57,3889.0,Europe & Central Asia
Armenia,1990,70.1,49.7,3544695.0,2.54,3736.0,Europe & Central Asia
Armenia,1991,69.8,47.4,3512051.0,2.48,3329.0,Europe & Central Asia
Armenia,1992,69.4,45.1,3449940.0,2.4,1973.0,Europe & Central Asia
Armenia,1993,69.2,42.8,3370373.0,2.3,1842.0,Europe & Central Asia
Armenia,1994,69.2,40.6,3290540.0,2.18,1988.0,Europe & Central Asia
Armenia,1995,69.4,38.6,3223173.0,1.8,2169.0,Europe & Central Asia
Armenia,1996,69.7,36.7,3172185.0,1.8,2333.0,Europe & Central Asia
Armenia,1997,70.1,34.9,3134836.0,1.7,2438.0,Europe & Central Asia
Armenia,1998,70.6,33.2,3109101.0,1.5,2636.0,Europe & Central Asia
Armenia,1999,71.0,31.6,3090624.0,1.4,2740.0,Europe & Central Asia
Armenia,2000,71.4,30.1,3076098.0,1.3,2919.0,Europe & Central Asia
Armenia,2001,71.7,28.6,3065810.0,1.2,3214.0,Europe & Central Asia
Armenia,2002,71.9,27.2,3061067.0,1.2,3654.0,Europe & Central Asia
Armenia,2003,72.1,25.9,3060554.0,1.4,4182.0,Europe & Central Asia
Armenia,2004,72.1,24.6,3062612.0,1.4,4635.0,Europe & Central Asia
Armenia,2005,72.2,23.3,3065954.0,1.4,5297.0,Europe & Central Asia
Armenia,2006,72.2,22.2,3069844.0,1.3,6020.0,Europe & Central Asia
Armenia,2007,72.3,21.1,3074181.0,1.4,6877.0,Europe & Central Asia
Armenia,2008,72.5,20.0,3079087.0,1.4,7383.0,Europe & Central Asia
Armenia,2009,72.6,19.0,3084979.0,1.6,6358.0,Europe & Central Asia
Armenia,2010,72.9,18.0,3092072.0,1.55,6508.0,Europe & Central Asia
Armenia,2011,73.2,17.2,3100236.0,1.5,6812.0,Europe & Central Asia
Armenia,2012,73.5,16.3,3108972.0,1.47,7291.0,Europe & Central Asia
Armenia,2013,73.8,15.5,3117722.0,1.44,7527.0,Europe & Central Asia
Australia,1964,70.8172,22.7,11122567.0,3.15,16098.0,East Asia & Pacific
Australia,1965,71.15100000000001,22.4,11359763.0,2.97,16601.0,East Asia & Pacific
Australia,1966,70.9948,22.1,11617580.0,2.89,16756.0,East Asia & Pacific
Australia,1967,71.2786,22.0,11892163.0,2.85,17570.0,East Asia & Pacific
Australia,1968,70.9124,21.9,12175746.0,2.89,18261.0,East Asia & Pacific
